DateHeure,Group1,Lib,Valeur
01/01/2018 15:42:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:42:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:44:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:44:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:46:00,Ambiance,CO2 Cours 205, 320
01/01/2018 15:46:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:48:00,Ambiance,CO2 Cours 205, 320
01/01/2018 15:48:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:50:00,Ambiance,CO2 Cours 205, 320
01/01/2018 15:50:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:52:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:52:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:54:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:54:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:56:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:56:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:58:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:58:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:00:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:00:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:02:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:02:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:04:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:04:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:06:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:06:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:08:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:08:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:10:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:12:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:12:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:14:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:16:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:18:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:20:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:20:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:22:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:22:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:24:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:24:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:26:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:26:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:28:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:28:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:30:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:30:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:32:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:32:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:34:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:34:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:36:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:36:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:38:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:38:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:40:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:40:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:42:00,Ambiance,CO2 Cours 205, 320
01/01/2018 16:42:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:44:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:44:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:46:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:46:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:48:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:48:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:50:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:50:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:52:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:52:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:54:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:54:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:56:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:56:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 16:58:00,Ambiance,CO2 Cours 205, 340
01/01/2018 16:58:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:00:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:00:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:02:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:02:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:04:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:04:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:06:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:06:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:08:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:08:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:10:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:12:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:12:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:14:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:16:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:18:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:20:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:20:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:22:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:22:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:24:00,Ambiance,CO2 Cours 205, 340
01/01/2018 17:24:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:26:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:26:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:28:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:28:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:30:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:30:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:32:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:32:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:34:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:34:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:36:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:36:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:38:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:38:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:40:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:40:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:42:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:42:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:44:00,Ambiance,CO2 Cours 205, 320
01/01/2018 17:44:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 17:46:00,Ambiance,CO2 Cours 205, 320
