DateHeure	Group1	Lib	Valeur					
01/01/2018 13:02	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:02	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:04	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:04	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:06	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:06	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:08	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:08	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:10	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:10	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:12	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:12	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:14	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:14	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:16	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:16	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:18	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:18	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:20	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:20	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:22	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:22	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:24	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:24	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:26	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:26	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:28	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:28	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:30	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:30	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:32	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:32	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:34	Ambiance	CO2 Cours 107	320	320	22		22	320
